Numero RCL,Inscricao Imobiliaria,Tipo Lancamento  (1-Normal 2-Complementar),Exercicio
30144862023,99990079170010000,1,2023
30155952023,99990600130060000,1,2023
30159642023,99991205490000000,1,2023
30161332023,99991042690010000,1,2023
40161342023,99990411100070000,1,2023
30158482023,99991172680000000,1,2023
30168852023,99991090090020000,1,2023
30169382023,99991131610000000,1,2023
30171672023,99990410090000000,1,2023
30156392023,99990262050180000,1,2023
30162512023,99990153620780000,1,2023
30162552023,99990149200080000,1,2023
30155342023,99990961410000000,1,2023
30154812023,99991043350000000,1,2023
30162012023,99991041860000000,1,2023
30164822023,99990298440010000,1,2023
30173792023,99991097650000000,1,2023
30192752023,99990115300040000,1,2023
30193352023,99991049330000000,1,2023
30188542023,99991041530000000,1,2023
30186622023,99990717461240000,1,2023
30187232023,99990717461250000,1,2023
30207162023,99990528180310000,1,2023
30183262023,99990610050160000,1,2023
30181172023,99990559280040000,1,2023
30181302023,99990559280130000,1,2023
30181052023,99990543266930000,1,2023
30181162023,99990528770010000,1,2023
30181062023,99990559280030000,1,2023
30207442023,99990528180570000,1,2023
30207442023,99990528180580000,1,2023
30207442023,99990528180590000,1,2023
30207522023,99990359820000000,1,2023
30207962023,99990359820050000,1,2023
30094782023,99991007170030000,1,2023
30207892023,99990359820040000,1,2023
30208742023,99990717461290000,1,2023
30214662023,99990359820180000,1,2023
30214512023,99990359820170000,1,2023
30214272023,99990359820160000,1,2023
30208612023,99990359820150000,1,2023
30208562023,99990359820140000,1,2023
30208512023,99990359820130000,1,2023
30208352023,99990359820100000,1,2023
30208072023,99990717461280000,1,2023
30208472023,99990359820120000,1,2023
30208402023,99990359820110000,1,2023
30208292023,99990359820090000,1,2023
30208262023,99990359820080000,1,2023
30208142023,99990359820070000,1,2023
30208092023,99990359820060000,1,2023
30207852023,99990359820030000,1,2023
30207782023,99990359820020000,1,2023
30271982023,99990375040000000,1,2023
30214852023,99990359820200000,1,2023
30297322023,99991041390000000,1,2023
30146282023,99991099920040000,1,2023
30290132023,99990299160010000,1,2023
30215352023,99990359820300000,1,2023
30215222023,99990359820270000,1,2023
30208052023,99990977810000000,1,2023
30207592023,99990359820010000,1,2023
30214772023,99990359820190000,1,2023
30214902023,99990359820210000,1,2023
30214962023,99990359820220000,1,2023
30326642023,99990810160000000,1,2023
30215052023,99990359820230000,1,2023
30215172023,99990359820260000,1,2023
30169582023,99990645350020000,1,2023
30171252023,99991114820000000,1,2023
30175672023,99990549440050000,1,2023
30215252023,99990359820280000,1,2023
30215322023,99990359820290000,1,2023
30215432023,99990359820310000,1,2023
30215502023,99990359820320000,1,2023
30237752023,99990485180010000,1,2023
30272492023,99990420360010000,1,2023
30272252023,99990420360000000,1,2023
30325792023,99990505950010000,1,2023
30260752023,99990035980000000,1,2023
30156422023,99990407960040000,1,2023
30399462023,99990227040000000,1,2023
30378232023,99990624530010000,1,2023
30399732023,99990360220020000,1,2023
30315402023,99991077560000000,1,2023
30344522023,99990416610010000,1,2023
30365232023,99990758340330000,1,2023
30365232023,99990758340300000,1,2023
30365232023,99990758340290000,1,2023
30365232023,99990758340240000,1,2023
30365232023,99990758340230000,1,2023
30365232023,99990758340220000,1,2023
30365232023,99990758340200000,1,2023
30365232023,99990758340090000,1,2023
30365232023,99990758340080000,1,2023
30366482023,99990841310010000,1,2023
30175522023,99991096180000000,1,2023
30075262023,99990967450010000,1,2023
30392692023,99990725520210000,1,2023
30391732023,99990807090000000,1,2023
30412332023,99990559020720000,1,2023
30368142023,99990389420710000,1,2023
30261912023,99990869570070000,1,2023
30257592023,99990739370000000,1,2023
30257592023,99990739370020000,1,2023
30257592023,99990739370030000,1,2023
30257592023,99990739370040000,1,2023
30257592023,99990739370050000,1,2023
30386342023,99991097290000000,1,2023
30257592023,99990739370060000,1,2023
30257592023,99990739370070000,1,2023
30257592023,99990739370080000,1,2023
30257592023,99990739370090000,1,2023
30257592023,99990739370100000,1,2023
30257592023,99990739370110000,1,2023
30287172023,99991042660000000,1,2023
30394512023,99990671330020000,1,2023
30405102023,99990018600000000,1,2023
30384652023,99991033710000000,1,2023
30394182023,99991059380000000,1,2023
30368302023,99991055530000000,1,2023
30395302023,99991097680000000,1,2023
30413142023,99990323670000000,1,2023
30392872023,99990725520530000,1,2023
30420722023,99990696130000000,1,2023
30411942023,99990913310010000,1,2023
30414472023,99991041570000000,1,2023
30375682023,99991096400000000,1,2023
30414312023,99990559024650000,1,2023
30441452023,99990685190010000,1,2023
30414572023,99990881590280000,1,2023
30411792023,99990913310030000,1,2023
30411602023,99990913310040000,1,2023
30440132023,99991201430000000,1,2023
30437982023,99990826390020000,1,2023
30336102023,99990914240050000,1,2023
30450662023,99990465840180000,1,2023
30350152023,99990104930000000,1,2023
30367552023,99990202980020000,1,2023
30194432023,99991098380000000,1,2023
30425252023,99990504660230000,1,2023
30237352023,99990485180020000,1,2023
30242802023,99990853480020000,1,2023
30242802023,99990853480090000,1,2023
30242802023,99990853480130000,1,2023
30242802023,99990853480140000,1,2023
30242802023,99990853480150000,1,2023
30229102023,99991167930000000,1,2023
30385362023,99991099080000000,1,2023
30414732023,99990065290000000,1,2023
30406032023,99990065260010000,1,2023
30406032023,99990065260020000,1,2023
30399562023,99990944530000000,1,2023
30372622023,99990126800010000,1,2023
30405892023,99991042220000000,1,2023
30405502023,99990065270010000,1,2023
30367852023,99990726690710000,1,2023
30245522023,99991095930000000,1,2023
30250192023,99990183280000000,1,2023
30246962023,99991096500000000,1,2023
30340102023,99990095050030000,1,2023
30434962023,99990725520760000,1,2023
30403892023,99990835423950000,1,2023
30457682023,99990991650000000,1,2023
