Codigo Parcelamento;Id Divida
0241423;162475202
0241456;163959987
0241488;163959988
0241496;163959989
0241511;163959990
0241520;162475212
0241529;163959991
0241558;163959992
0241574;163959993
0241576;163959994
0241601;162475240
0241609;163959995
0241624;163959996
0241625;163959997
0241636;162475243
0241659;163959998
0241660;162475246
0241688;163960119
0241722;163960120
0241743;163960121
0241745;163960122
0241756;163960123
0241760;163960124
0241770;163960125
0241779;163960126
0241780;163960127
0241781;163960128
0241809;163960129
0241858;163960130
0241886;163960131
0241893;163960132
0241899;163960133
0241900;163960134
0241909;163960135
0241948;163960136
0241952;163960137
0241960;163960138
0241989;162475298
0241996;163960259
0242004;162600940
0242006;163960260
0242016;163960261
0242017;163960262
0242024;163960263
0242025;163960264
0242038;163960265
0242040;163960266
0242053;163960267
0242054;163960268
0242060;163960269
0242080;162600948
0242102;163960270
0242140;163960271
0242141;163960272
0242149;163960273
0242172;163960274
0242176;163960275
0242213;163960276
0242215;163960277
0242227;163960278
0242229;163960379
0242231;163960380
0242240;163960381
0242254;163960382
0242268;162601066
0242272;163960383
0242275;163960384
0242282;163960385
0242296;163960386
0242345;163960387
0242352;163960388
0242364;163960389
0242365;162601076
0242373;162601077
0242381;162601078
0242386;163960390
0242402;163960391
0242404;163960392
0242413;163960393
0242418;163960394
0242432;163960395
0242454;162601225
0242455;163960396
0242460;163960397
0242468;163960398
0242476;163960539
0242477;163960540
0242486;163960541
0242490;163960542
0242495;163960543
0242498;163960544
0242500;162601230
0242501;163960545
0242542;163960546
0242549;163960547
0242550;163960548
0242556;163960549
0242565;163960550
0242592;163960551
0242616;162601421
0242624;162601422
0242626;163960552
0242638;163960553
0242643;163960554
0242648;163960555
0242650;163960556
0242655;163960557
0242656;163960558
0242657;163960639
0242660;163960640
0242676;163960641
0242678;163960642
0242679;163960643
0242692;163960644
0242705;162601430
0242716;163960645
0242724;163960646
0242742;163960647
0242751;163960648
0242769;163960649
0242770;163960650
0242772;162601437
0242775;163960651
0242776;163960652
0242778;163960653
0242793;163960654
0242800;163960655
0242804;163960656
0242814;163960657
0242823;163960658
0242824;163960739
0242828;163960740
0242848;163960741
0242850;163960742
0242856;163960743
0242857;163960744
0242863;163960745
0242873;163960746
0242877;163960747
0242886;163960748
0242895;163960749
0242912;163960750
0242914;163960751
0242920;163960752
